               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.013526,           0.0050034,                   0,             0.99734,                   1,             0.99497,             0.91261,             0.01101,           0.0025422,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.013661,           0.0049765,                   0,             0.99734,                   1,             0.99497,             0.91309,            0.011016,           0.0025423,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.013565,           0.0050548,                   0,             0.99734,                   1,             0.99497,             0.91336,            0.011014,            0.002544,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.013569,           0.0051468,                   0,             0.99734,                   1,             0.99497,             0.91377,             0.01102,           0.0025439,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.013482,           0.0050042,                   0,             0.99734,                   1,             0.99497,             0.91348,             0.01102,           0.0025459,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.013403,           0.0050968,                   0,             0.99734,                   1,             0.99497,             0.91372,            0.011019,           0.0025463,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.013474,           0.0050408,                   0,             0.99733,                   1,             0.99498,             0.91322,            0.011015,           0.0025488,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.013356,           0.0049581,                   0,             0.99733,                   1,             0.99497,             0.91344,            0.011012,            0.002551,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.013395,           0.0050518,                   0,             0.99733,                   1,             0.99497,             0.91363,            0.011011,           0.0025513,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.013812,           0.0050404,                   0,             0.99732,                   1,             0.99497,             0.91352,            0.011012,           0.0025514,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.013332,           0.0050385,                   0,             0.99731,                   1,             0.99497,             0.91445,             0.01101,           0.0025504,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.013309,           0.0050405,                   0,             0.99732,                   1,             0.99497,             0.91379,             0.01101,           0.0025498,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.013265,           0.0049326,                   0,             0.99733,                   1,             0.99497,             0.91351,            0.011009,           0.0025488,                   0,             0.00505,             0.00505,             0.00505
